Script directory: /home/tihan6g/O-RAN-Testbed-Automation/OpenAirInterface_Testbed/Next_Generation_Node_B/configs/gnb.conf
[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
UE 4ee2: MAC:    TX           7632 RX       66539124 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 344/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 165984/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7653 RX       66798452 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 346/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 166624/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7695 RX       67057780 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 347/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 167264/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7716 RX       67317108 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 348/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 167904/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7737 RX       67576436 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 350/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 168544/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7779 RX       67835764 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 351/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 169184/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7800 RX       68095092 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 352/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 169824/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7821 RX       68354420 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 353/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 170464/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7842 RX       68613748 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 355/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 171104/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7884 RX       68873076 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 356/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 171744/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7905 RX       69132404 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 357/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 172384/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7926 RX       69391732 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 359/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 173024/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7968 RX       69651060 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 360/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 173664/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           7989 RX       69910388 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 361/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 174304/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8010 RX       70169716 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 362/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 174944/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8031 RX       70429044 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 364/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 175584/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8073 RX       70688372 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 365/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 176224/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8094 RX       70947700 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 366/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 176864/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8115 RX       71207028 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 367/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 177504/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8136 RX       71466356 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 369/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 178144/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8178 RX       71725684 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 370/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 178784/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8199 RX       71985012 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 371/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 179424/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8220 RX       72244340 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 373/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 180064/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8262 RX       72503668 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 374/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 180704/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8283 RX       72762996 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 375/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 181344/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8304 RX       73022324 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 376/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 181984/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8325 RX       73281652 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 378/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 182624/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8367 RX       73540980 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 379/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 183264/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8388 RX       73800308 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 380/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 183904/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8409 RX       74059636 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 382/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 184544/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8451 RX       74318964 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 383/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 185184/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8472 RX       74578292 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 384/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 185824/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8493 RX       74837620 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 385/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 186464/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8514 RX       75096948 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI 4ee2 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -45 (32 meas)
UE 4ee2: UL-RI 1, TPMI 0
UE 4ee2: dlsch_rounds 387/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0 CCE fail 34
UE 4ee2: ulsch_rounds 187104/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 28 (Qm 6 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB CCE fail 0
UE 4ee2: MAC:    TX           8556 RX       75356276 bytes
UE 4ee2: LCID 1: TX            548 RX            341 bytes
UE 4ee2: LCID 2: TX              0 RX              0 bytes
UE 4ee2: LCID 4: TX              0 RX           1707 bytes

